CUSTOMER_ID|CONTACT_ID|C_ADDRESS_LINE1|C_ADDRESS_LINE2|C_CITY|C_ZIP|STATE_NAME|COUNTRY_NAME|C_PHONE|C_EMAIL
51|2|2nd Street||Austin|37424|Texas|United States|742-472-4750|
52|2|3rd Street||Austin|84714|Texas|United States|848-427-4827|
53|2|37812 Adams Ave||Dallas|88252|Texas|United States|833-314-5642|
54|2|1231 Jefferson Dr||Pasadina|37718|Texas|United States|382-241-4141|
55|2|1847 Rockerfeller St||Fort worth|77187|Texas|United States|832-238-3378|
56|2|4727 Aber Ln||New Orleans|72878|Louisiana |United States|372-374-5378|
57|2|74232 Amaya Avenue||New Orleans|71878|Louisiana |United States|821-438-4387|
58|2|3728 Brett Way||College station|72387|Texas|United States|327-274-2741|
59|2|73277 Briarcliffe Court||college station|73874|Texas|United States|832-492-4788|
60|2|83748 Britton Drive||college station|83781|Texas|United States|489-248-2498|
61|2|738 Bunker Lane||college station|37287|Texas|United States|373-382-2837|
62|2|7375 Bunker Hill dr||Houston|77024|Texas|United States|389-389-4874|
63|2|7484 Chimney rock rd||Houston|77392|Texas|United States|849-237-8487|
64|2|2384 Vinewood hills||New orleans|38732|Louisiana |United States|843-472-4817|
65|2|374 vespuchi dr||Fort worth|38273|Texas|United States|382-384-4274|
66|2|7287 hollow lane||Houston|77023|Texas|United States|954-437-5724|
67|2|8298 Lettuce vine blv||Houston|72838|Texas|United States|923-853-5839|
68|2|89 15th st||Austin|89828|Texas|United States|913-382-3898|
69|2|388 Burgos dr||Dallas|83922|Texas|United States|932-482-4834|
70|2|389 Burke court||Dallas|89288|Texas|United States|839-384-8573|
71|2|4850 Burns Dr||Dallas|38942|Texas|United States|843-576-5839|
72|2|752 Chester court||Dalls|84982|Texas|United States|847-287-5372|
73|2|930 Edgeworth dr||Fortworth|38293|Texas|United States|839-498-4832|
74|2|8493 Edwards st||Dallas|83924|Texas|United States|949-485-3843|
75|2|3829 Alabama st||Houston|77005|Texas|United States|832-485-3273|
76|2|8938 Garrott st||Houston|77006|Texas|United States|829-589-3842|
77|1|8398 Feedback ave||Dallas|83932|Texas|United States|839-860-3839|
78|1|8489 Emma Place dr||Dallas|93029|Texas|United States|843-849-4839|
79|1|9294 Fairfield st||Houston|77013|Texas|United States|723-859-1983|
80|1|8849 Fieldcrest dr||Dallas|98208|Texas|United States|892-484-3841|
81|1|939 Fink St||Dallas|82984|Texas|United States|739-483-4759|
82|1|4953 Flatwood dr||Houston|77209|Texas|United States|829-485-3813|
83|1|298 Fiatlane dr||Houston|77299|Texas|United States|785-843-3943|
84|1|3894 Mountainvale dr||Dallas|82988|Texas|United States|920-382-8492|
85|1|8392 Montrose ave||Houston|77008|Texas|United States|832-472-3728|
86|1|2713 Highville ave||Austin|93293|Texas|United States|382-839-3819|
87|1|93909 Lookalive ave||Austin|80834|Texas|United States|382-372-3818|
88|1|123 Gale ln||Houston|83911|Texas|United States|739-843-2839|
89|1|1833 Harvey Dr||Austin|83021|Texas|United States|892-847-4831|
90|1|9219 Sleepless ave||Houston|83198|Texas|United States|993-329-4928|
91|1|8397 Sheepless Dr||Dallas|83813|Texas|United States|839-234-1738|
92|1|6393 Lightfull Dr||Austin|83911|Texas|United States|839-289-1648|
93|1|7492 Tablelight ave||Houston|92010|Texas|United States|839-283-2839|
94|1|31983 Gonzales dr||Houston|92911|Texas|United States|831-293-3729|
95|1|8273 Goodman Ln||Dallas|93912|Texas|United States|832-471-1732|
96|1|928 Goldplace dr||Houston|73197|Texas|United States|839-294-2371|
97|2|82864 Vespuchi dr||Austin|83813|Texas|United States|268-371-4719|
98|2|37193 Pelito dr||Fort worth|83912|Texas|United States|722-372-3197|
99|2|9392 Fleeka ave||College station|35482|Texas|United States|833-283-2838|
100|2|Lastlane dr||Houston|89284|Texas|United States|939-274-2748|
